2023/12/31 03:57:35.147 Info   Starting JoyToKey v6.9.2
2023/12/31 03:57:35.148 Info   ExeFile = D:\Documents\JoyToKey\JoyToKey.exe
2023/12/31 03:57:35.148 Info   Args = D:\Documents\JoyToKey\JoyToKey.exe
2023/12/31 03:57:35.148 Info   DataDirectory = D:\Documents\JoyToKey\
2023/12/31 03:57:35.148 Info   Profile = 
2023/12/31 03:57:35.148 Info   IniFile = D:\Documents\JoyToKey\JoyToKey.ini
2023/12/31 03:57:35.148 Info   Loading ini file: D:\Documents\JoyToKey\JoyToKey.ini (AppInfo.cpp#259)
2023/12/31 03:57:35.148 Info   LicenseKey "" is not valid
2023/12/31 03:57:35.190 Info   Loading XInput1_3.dll (Joystick.cpp#158)
2023/12/31 03:57:35.191 Info   Initialized XInput (Joystick.cpp#180)
2023/12/31 03:57:35.217 Info   Initialized DirectInput (Joystick.cpp#193)
2023/12/31 03:57:35.217 Info   Loading hid.dll (JoystickHID.h#58)
2023/12/31 03:57:35.218 Info   Initialized HID (Joystick.cpp#202)
2023/12/31 03:57:35.278 Info   Detected a DI joystick: RIGHT VPC Stick MT-50CM3, RIGHT VPC Stick MT-50CM3, 43903344, {5D9FC1D0-C359-11ED-8001-444553540000}
2023/12/31 03:57:35.281 Info   numAxis = 6
2023/12/31 03:57:35.281 Info   numPOVs = 0
2023/12/31 03:57:35.281 Info   numButtons = 32
2023/12/31 03:57:35.281 Info   EnumDeviceObject: Axis offset=0 type=2 name=Axe X
2023/12/31 03:57:35.281 Info   EnumDeviceObject: Axis offset=4 type=102 name=Axe Y
2023/12/31 03:57:35.281 Info   EnumDeviceObject: Axis offset=8 type=402 name=Rotation Y
2023/12/31 03:57:35.281 Info   EnumDeviceObject: Axis offset=12 type=302 name=Rotation X
2023/12/31 03:57:35.281 Info   EnumDeviceObject: Axis offset=16 type=202 name=Curseur
2023/12/31 03:57:35.281 Info   EnumDeviceObject: Axis offset=20 type=602 name=Axe Z
2023/12/31 03:57:35.287 Info   Detected a DI joystick: LEFT VPC Throttle MT-50CM3, LEFT VPC Throttle MT-50CM3, 81973344, {5B67DDC0-C35A-11ED-8003-444553540000}
2023/12/31 03:57:35.289 Info   numAxis = 0
2023/12/31 03:57:35.289 Info   numPOVs = 0
2023/12/31 03:57:35.289 Info   numButtons = 32
2023/12/31 03:57:35.300 Info   Detected a DI joystick: LEFT VPC Stick MT-50CM3, LEFT VPC Stick MT-50CM3, 838F3344, {61853630-C355-11ED-8001-444553540000}
2023/12/31 03:57:35.302 Info   numAxis = 6
2023/12/31 03:57:35.302 Info   numPOVs = 0
2023/12/31 03:57:35.302 Info   numButtons = 32
2023/12/31 03:57:35.302 Info   EnumDeviceObject: Axis offset=0 type=2 name=Axe X
2023/12/31 03:57:35.303 Info   EnumDeviceObject: Axis offset=4 type=102 name=Axe Y
2023/12/31 03:57:35.303 Info   EnumDeviceObject: Axis offset=8 type=402 name=Rotation Y
2023/12/31 03:57:35.303 Info   EnumDeviceObject: Axis offset=12 type=302 name=Rotation X
2023/12/31 03:57:35.303 Info   EnumDeviceObject: Axis offset=16 type=202 name=Curseur
2023/12/31 03:57:35.303 Info   EnumDeviceObject: Axis offset=20 type=602 name=Axe Z
2023/12/31 03:57:35.308 Info   Detected a DI joystick: Saitek Pro Flight X-56 Rhino Throttle, Saitek Pro Flight X-56 Rhino Throttle, A2210738, {9668D4B0-8C23-11ED-8001-444553540000}
2023/12/31 03:57:35.311 Info   numAxis = 8
2023/12/31 03:57:35.311 Info   numPOVs = 0
2023/12/31 03:57:35.311 Info   numButtons = 36
2023/12/31 03:57:35.311 Info   EnumDeviceObject: Axis offset=0 type=102 name=Axe Y
2023/12/31 03:57:35.311 Info   EnumDeviceObject: Axis offset=4 type=2 name=Axe X
2023/12/31 03:57:35.311 Info   EnumDeviceObject: Axis offset=8 type=202 name=Cadran
2023/12/31 03:57:35.311 Info   EnumDeviceObject: Axis offset=12 type=602 name=Curseur
2023/12/31 03:57:35.311 Info   EnumDeviceObject: Axis offset=16 type=402 name=Rotation Y
2023/12/31 03:57:35.311 Info   EnumDeviceObject: Axis offset=20 type=502 name=Rotation Z
2023/12/31 03:57:35.311 Info   EnumDeviceObject: Axis offset=24 type=302 name=Rotation X
2023/12/31 03:57:35.311 Info   EnumDeviceObject: Axis offset=28 type=702 name=Axe Z
2023/12/31 03:57:35.465 Info   Detected a DI joystick: LEFT VPC Throttle MT-50CM3, LEFT VPC Throttle MT-50CM3, 81973344, {5B6804D0-C35A-11ED-8004-444553540000}
2023/12/31 03:57:35.467 Info   numAxis = 6
2023/12/31 03:57:35.467 Info   numPOVs = 0
2023/12/31 03:57:35.467 Info   numButtons = 32
2023/12/31 03:57:35.468 Info   EnumDeviceObject: Axis offset=0 type=302 name=Rotation X
2023/12/31 03:57:35.468 Info   EnumDeviceObject: Axis offset=4 type=402 name=Rotation Y
2023/12/31 03:57:35.468 Info   EnumDeviceObject: Axis offset=8 type=502 name=Rotation Z
2023/12/31 03:57:35.468 Info   EnumDeviceObject: Axis offset=12 type=2 name=Axe X
2023/12/31 03:57:35.468 Info   EnumDeviceObject: Axis offset=16 type=102 name=Axe Y
2023/12/31 03:57:35.468 Info   EnumDeviceObject: Axis offset=20 type=202 name=Axe Z
2023/12/31 03:57:35.507 Info   Detected a DI joystick: LEFT VPC Throttle MT-50CM3, LEFT VPC Throttle MT-50CM3, 81973344, {205E81B0-9CCC-11EE-8002-444553540000}
2023/12/31 03:57:35.509 Info   numAxis = 0
2023/12/31 03:57:35.509 Info   numPOVs = 0
2023/12/31 03:57:35.509 Info   numButtons = 20
2023/12/31 03:57:35.537 Info   DetectJoysticks: Detected 6 DI joystick(s)
2023/12/31 03:57:35.542 Info   Joystick #1: RIGHT VPC Stick MT-50CM3
2023/12/31 03:57:35.542 Info   Joystick #4: LEFT VPC Throttle MT-50CM3
2023/12/31 03:57:35.542 Info   Joystick #2: LEFT VPC Stick MT-50CM3
2023/12/31 03:57:35.542 Info   Joystick #6: Saitek Pro Flight X-56 Rhino Throttle
2023/12/31 03:57:35.542 Info   Joystick #5: LEFT VPC Throttle MT-50CM3
2023/12/31 03:57:35.542 Info   Joystick #3: LEFT VPC Throttle MT-50CM3
2023/12/31 03:57:35.542 Info   6 joystick(s) are detected (Joystick.cpp#283)
2023/12/31 03:57:35.542 Info   6 joysticks are detected (Joystick.cpp#215)
2023/12/31 03:57:35.542 Info   ConfigDir=D:\Documents\JoyToKey\*.cfg (ConfigFileManager.cpp#43)
2023/12/31 03:57:35.543 Info   --- Loading "AppLink.dat" --- (AppLink\AppLinkManager.cpp#36)
2023/12/31 03:57:35.544 Info   --- Total 0 record(s) loaded ---
2023/12/31 03:57:35.570 Info   TimerInit: Initializing timer with x16 speed mode (interval = 1 msec)
2023/12/31 03:57:35.748 Info   Detected a DI joystick: RIGHT VPC Stick MT-50CM3, RIGHT VPC Stick MT-50CM3, 43903344, {5D9FC1D0-C359-11ED-8001-444553540000}
2023/12/31 03:57:35.751 Info   numAxis = 6
2023/12/31 03:57:35.751 Info   numPOVs = 0
2023/12/31 03:57:35.751 Info   numButtons = 32
2023/12/31 03:57:35.751 Info   EnumDeviceObject: Axis offset=0 type=2 name=Axe X
2023/12/31 03:57:35.751 Info   EnumDeviceObject: Axis offset=4 type=102 name=Axe Y
2023/12/31 03:57:35.751 Info   EnumDeviceObject: Axis offset=8 type=402 name=Rotation Y
2023/12/31 03:57:35.751 Info   EnumDeviceObject: Axis offset=12 type=302 name=Rotation X
2023/12/31 03:57:35.751 Info   EnumDeviceObject: Axis offset=16 type=202 name=Curseur
2023/12/31 03:57:35.751 Info   EnumDeviceObject: Axis offset=20 type=602 name=Axe Z
2023/12/31 03:57:35.756 Info   Detected a DI joystick: LEFT VPC Throttle MT-50CM3, LEFT VPC Throttle MT-50CM3, 81973344, {5B67DDC0-C35A-11ED-8003-444553540000}
2023/12/31 03:57:35.758 Info   numAxis = 0
2023/12/31 03:57:35.758 Info   numPOVs = 0
2023/12/31 03:57:35.758 Info   numButtons = 32
2023/12/31 03:57:35.771 Info   Detected a DI joystick: LEFT VPC Stick MT-50CM3, LEFT VPC Stick MT-50CM3, 838F3344, {61853630-C355-11ED-8001-444553540000}
2023/12/31 03:57:35.774 Info   numAxis = 6
2023/12/31 03:57:35.774 Info   numPOVs = 0
2023/12/31 03:57:35.774 Info   numButtons = 32
2023/12/31 03:57:35.774 Info   EnumDeviceObject: Axis offset=0 type=2 name=Axe X
2023/12/31 03:57:35.774 Info   EnumDeviceObject: Axis offset=4 type=102 name=Axe Y
2023/12/31 03:57:35.774 Info   EnumDeviceObject: Axis offset=8 type=402 name=Rotation Y
2023/12/31 03:57:35.774 Info   EnumDeviceObject: Axis offset=12 type=302 name=Rotation X
